sample_id,timestamp_s,clock_bias_s,clock_drift_s_per_s,ephemeris_error_m
50,45000,-1.25516e-07,-9.741e-11,0.043644
51,45900,-1.90445e-07,-9.661e-11,0.079087
52,46800,-2.21504e-07,-9.422e-11,0.090435
53,47700,-3.08308e-07,-9.957e-11,0.221983
54,48600,-3.59512e-07,-9.649e-11,0.260301
55,49500,-4.34033e-07,-8.558e-11,0.332846
56,50400,-5.04908e-07,-9.037e-11,0.215332
57,51300,-5.71886e-07,-8.353e-11,0.294221
58,52200,-6.03228e-07,-7.52e-11,0.290428
59,53100,-6.30275e-07,-7.651e-11,0.433442
60,54000,-6.94593e-07,-7.5e-11,0.246455
61,54900,-7.4219e-07,-6.705e-11,0.333133
62,55800,-7.83889e-07,-6.124e-11,0.247438
63,56700,-8.61767e-07,-5.779e-11,0.319984
64,57600,-8.61744e-07,-5.623e-11,0.268467
65,58500,-8.89166e-07,-4.865e-11,0.245692
66,59400,-9.22715e-07,-4.398e-11,0.230021
67,60300,-9.35714e-07,-2.673e-11,0.235319
68,61200,-9.93479e-07,-3.057e-11,0.175752
69,62100,-9.7051e-07,-1.693e-11,0.307442
70,63000,-9.80027e-07,-7.37e-12,0.125346
71,63900,-9.84831e-07,-8.12e-12,0.077106
72,64800,-1.015457e-06,-1.18e-12,-0.024268
73,65700,-9.96221e-07,1.811e-11,-0.132521
74,66600,-9.7772e-07,4.99e-12,-0.101242
75,67500,-9.59006e-07,1.983e-11,-0.168692
76,68400,-9.80232e-07,2.928e-11,-0.186518
77,69300,-9.42601e-07,3.237e-11,-0.215208
78,70200,-8.81001e-07,4.144e-11,-0.313389
79,71100,-8.93144e-07,4.092e-11,-0.195384
80,72000,-8.81876e-07,4.943e-11,-0.234558
81,72900,-8.14155e-07,4.956e-11,-0.293889
82,73800,-8.02852e-07,5.761e-11,-0.201505
83,74700,-7.4374e-07,5.963e-11,-0.25154
84,75600,-6.64664e-07,7.587e-11,-0.375968
85,76500,-6.6903e-07,8.152e-11,-0.332817
86,77400,-5.99885e-07,8.321e-11,-0.336124
87,78300,-5.56761e-07,6.694e-11,-0.328383
88,79200,-5.05051e-07,8.036e-11,-0.178187
89,80100,-4.70892e-07,8.749e-11,-0.231469
90,81000,-3.53858e-07,8.521e-11,-0.153974
91,81900,-3.21235e-07,8.979e-11,-0.159523
92,82800,-2.54838e-07,9.359e-11,-0.14651
93,83700,-2.02797e-07,9.865e-11,-0.081698
94,84600,-9.8806e-08,9.296e-11,0.029006
95,85500,-1.04445e-07,9.903e-11,-0.009742
96,86400,5.62e-09,9.689e-11,-0.010406
97,87300,5.5543e-08,9.684e-11,0.081638
98,88200,1.37667e-07,9.568e-11,0.122626
99,89100,2.01236e-07,1.0214e-10,0.146286
100,90000,2.42239e-07,9.379e-11,0.187365
101,90900,3.33647e-07,9.459e-11,0.188495
102,91800,4.08237e-07,8.943e-11,0.239487
103,92700,4.38245e-07,8.86e-11,0.292945
104,93600,5.16508e-07,9.067e-11,0.325082
105,94500,5.5599e-07,8.656e-11,0.261651
106,95400,6.15245e-07,7.868e-11,0.294628
107,96300,6.71249e-07,7.109e-11,0.402053
108,97200,6.86986e-07,6.464e-11,0.357906
109,98100,7.67673e-07,6.906e-11,0.328851
110,99000,7.93108e-07,5.639e-11,0.293568
111,99900,8.17926e-07,6.043e-11,0.269811
112,100800,8.49515e-07,4.839e-11,0.280454
113,101700,8.85598e-07,4.012e-11,0.25019
114,102600,9.28779e-07,3.573e-11,0.18858
115,103500,9.51571e-07,2.49e-11,0.112255
116,104400,9.51557e-07,2.481e-11,0.165545
117,105300,1.010292e-06,2.38e-11,0.106808
118,106200,9.91065e-07,8.04e-12,0.07672
119,107100,9.92086e-07,8.15e-12,-0.002204
120,108000,1.010387e-06,7.66e-12,-0.005438
121,108900,1.005893e-06,-3.09e-12,-0.059219
122,109800,9.95927e-07,-1.299e-11,-0.072762
123,110700,9.65325e-07,-1.939e-11,-0.089905
124,111600,9.94949e-07,-2.109e-11,-0.042341
125,112500,9.31583e-07,-2.778e-11,-0.173461
126,113400,9.67676e-07,-4.231e-11,-0.254118
127,114300,8.84885e-07,-5.485e-11,-0.264294
128,115200,8.50843e-07,-4.925e-11,-0.24272
129,116100,8.68993e-07,-5.08e-11,-0.306009
130,117000,7.75385e-07,-5.842e-11,-0.355789
131,117900,7.88469e-07,-6.004e-11,-0.320892
132,118800,6.72844e-07,-6.394e-11,-0.305727
133,119700,6.84102e-07,-8.316e-11,-0.327402
134,120600,6.08866e-07,-7.91e-11,-0.312281
135,121500,5.68027e-07,-8.849e-11,-0.284283
136,122400,5.02406e-07,-8.403e-11,-0.224227
137,123300,4.19796e-07,-9.736e-11,-0.174122
138,124200,3.8933e-07,-9.613e-11,-0.134574
139,125100,3.23753e-07,-8.88e-11,-0.179253
140,126000,3.00034e-07,-8.782e-11,-0.162448
141,126900,2.14522e-07,-9.485e-11,-0.046373
142,127800,1.11228e-07,-9.571e-11,-0.024724
143,128700,3.0228e-08,-1.057e-10,-0.141119
144,129600,-5.388e-09,-9.641e-11,0.075118
145,130500,-6.3921e-08,-9.164e-11,-0.029847
146,131400,-1.64594e-07,-9.942e-11,0.096849
147,132300,-1.95744e-07,-1.0842e-10,0.110349
148,133200,-2.84908e-07,-9.324e-11,0.16833
149,134100,-3.40237e-07,-9.726e-11,0.129668
150,135000,-3.83937e-07,-8.761e-11,0.162846
151,135900,-4.32208e-07,-9.234e-11,0.198362
152,136800,-5.02141e-07,-9.178e-11,0.232125
153,137700,-5.79528e-07,-7.332e-11,0.278927
154,138600,-6.22756e-07,-7.827e-11,0.284161
155,139500,-6.63765e-07,-7.211e-11,0.335309
156,140400,-7.17717e-07,-7.359e-11,0.286247
157,141300,-7.97878e-07,-7.351e-11,0.365777
158,142200,-7.60454e-07,-6.212e-11,0.318606
159,143100,-8.25245e-07,-4.016e-11,0.333143
160,144000,-8.68584e-07,-5.478e-11,0.179485
161,144900,-8.92803e-07,-4.801e-11,0.166893
162,145800,-9.36811e-07,-4.368e-11,0.296489
163,146700,-9.29297e-07,-3.218e-11,0.256626
164,147600,-9.64378e-07,-3.019e-11,0.226156
165,148500,-9.70007e-07,-2.47e-11,0.105288
166,149400,-1.008957e-06,-1.997e-11,0.123955
167,150300,-9.59671e-07,-1.353e-11,0.067306
168,151200,-1.013013e-06,-2.44e-12,-0.02962
169,152100,-1.015139e-06,6.78e-12,-0.080705
170,153000,-9.86036e-07,1.28e-11,-0.089593
171,153900,-9.98937e-07,1.663e-11,-0.077035
172,154800,-9.55907e-07,2.099e-11,-0.145033
173,155700,-9.31902e-07,2.38e-11,-0.15546
174,156600,-9.37132e-07,4.112e-11,-0.250295
175,157500,-9.3297e-07,3.609e-11,-0.235602
176,158400,-8.60831e-07,4.548e-11,-0.227878
177,159300,-8.647e-07,5.523e-11,-0.337715
178,160200,-8.0639e-07,6.111e-11,-0.332798
179,161100,-7.59531e-07,7.097e-11,-0.326278
180,162000,-6.90393e-07,6.506e-11,-0.27351
181,162900,-6.30514e-07,6.283e-11,-0.337278
182,163800,-5.9722e-07,7.832e-11,-0.27122
183,164700,-5.6765e-07,8.358e-11,-0.284948
184,165600,-4.76644e-07,8.787e-11,-0.242927
185,166500,-4.50526e-07,8.725e-11,-0.259634
186,167400,-3.74794e-07,9.028e-11,-0.197643
187,168300,-2.79931e-07,9.905e-11,-0.19893
188,169200,-2.34795e-07,9.455e-11,-0.251906
189,170100,-2.15252e-07,8.872e-11,-0.132381
190,171000,-1.30158e-07,1.0753e-10,-0.061299
191,171900,-6.9785e-08,1.0393e-10,-0.149715
192,172800,4.712e-09,1.0385e-10,-0.073929
193,173700,8.8278e-08,1.0148e-10,0.018393
194,174600,1.43182e-07,1.105e-10,0.086739
195,175500,2.00055e-07,9.578e-11,0.072313
196,176400,2.75426e-07,9.231e-11,0.153578
197,177300,3.11886e-07,9.709e-11,0.199312
198,178200,4.03434e-07,8.984e-11,0.198638
199,179100,4.22713e-07,8.747e-11,0.256871
